"";"day";"patch";"pfpr_samp"
"1";1;1;0,030846439189701
"2";1;2;0,00851757684961291
"3";1;3;0,0262183571112178
"4";1;4;0,0489380743517064
"5";21;1;0,0169163155409477
"6";21;2;0,0123144378902029
"7";21;3;0,0436930265488226
"8";21;4;0,0359917038925636
"9";41;1;0,0349551489712387
"10";41;2;0,00502092968585439
"11";41;3;0,0495932387233789
"12";41;4;0,0618286298428276
"13";61;1;0,0273821456592443
"14";61;2;0,00393440612775128
"15";61;3;0,0389880237352556
"16";61;4;0,0468351964237799
"17";81;1;0,015817192991637
"18";81;2;0,0092686162732278
"19";81;3;0,0211279573516246
"20";81;4;0,0737535787065497
"21";101;1;0,0286330966270617
"22";101;2;0,00568063039596194
"23";101;3;0,00397272234669965
"24";101;4;0,0486036732833908
"25";121;1;0,00958655565444511
"26";121;2;0,0115645250628642
"27";121;3;0,0124931847649154
"28";121;4;0,0298353431764526
"29";141;1;0,0131090075602756
"30";141;2;0,00298223510699813
"31";141;3;0,0173389967125859
"32";141;4;0,0452612356764496
"33";161;1;0,0243180296444621
"34";161;2;0,0151187513667102
"35";161;3;0,0318388881945867
"36";161;4;0,0523208710076875
"37";181;1;0,0335107959037696
"38";181;2;0,0250389840152712
"39";181;3;0,0333102600344247
"40";181;4;0,0892314140941423
"41";201;1;0,0335341305601195
"42";201;2;0,00619425536107124
"43";201;3;0,0523535094198452
"44";201;4;0,0398603646800688
"45";221;1;0,0456264772798188
"46";221;2;0,0166412849859844
"47";221;3;0,0726440408526344
"48";221;4;0,06093350338543
"49";241;1;0,0854940736646995
"50";241;2;0,0138918246319928
"51";241;3;0,0486866486007936
"52";241;4;0,0956067628488584
"53";261;1;0,0259000978257853
"54";261;2;0,0324937943172186
"55";261;3;0,0513704214051594
"56";261;4;0,0908371450921046
"57";281;1;0,057845668263519
"58";281;2;0,0362143738475246
"59";281;3;0,0538101579546965
"60";281;4;0,0833661291214327
"61";301;1;0,0332032604433487
"62";301;2;0,0257882159264912
"63";301;3;0,0589967165172222
"64";301;4;0,0621406365575914
"65";321;1;0,0850051979169675
"66";321;2;0,0313156595773021
"67";321;3;0,0471774727484153
"68";321;4;0,0769976863605361
"69";341;1;0,0518924096345006
"70";341;2;0,0272362691380583
"71";341;3;0,105770946192296
"72";341;4;0,047769665365219
"73";361;1;0,0320419340177699
"74";361;2;0,0365509033146777
"75";361;3;0,0330022200051907
"76";361;4;0,0321563244058203
"77";381;1;0,0534327097103318
"78";381;2;0,0282305054257823
"79";381;3;0,0156687493122285
"80";381;4;0,0263618439646565
"81";401;1;0,0472495231514829
"82";401;2;0,0124687665658585
"83";401;3;0,0355494131786968
"84";401;4;0,0464588118404343
"85";421;1;0,0242670364426955
"86";421;2;0,0246625426931269
"87";421;3;0,040702247079327
"88";421;4;0,0151875315039992
"89";441;1;0,0137848311587138
"90";441;2;0,0162269402343306
"91";441;3;0,0359244700756175
"92";441;4;0,0211021388651908
"93";461;1;0,0248889135234181
"94";461;2;0,00430373480124201
"95";461;3;0,0528281760650022
"96";461;4;0,0294366434188583
"97";481;1;0,0259716019410436
"98";481;2;0,00222176000786553
"99";481;3;0,0111391330809295
"100";481;4;0,024531127533173
"101";501;1;0,0247433824437967
"102";501;2;0,00114942717946067
"103";501;3;0,0155218109127963
"104";501;4;0,0503338494736444
"105";521;1;0,0369959245864049
"106";521;2;0,00305717638195433
"107";521;3;0,0348088619537157
"108";521;4;0,0307023629934379
"109";541;1;0,0171381433400909
"110";541;2;0,0481665695641964
"111";541;3;0,0429289899462946
"112";541;4;0,0330932507617129
"113";561;1;0,0443109098616157
"114";561;2;0,0382038159677182
"115";561;3;0,0522628812987076
"116";561;4;0,0441023325138576
"117";581;1;0,0289991903293845
"118";581;2;0,0259772019321142
"119";581;3;0,0689009826297597
"120";581;4;0,0849761157011798
"121";601;1;0,0453821368460698
"122";601;2;0,0113675585550334
"123";601;3;0,0412198380246826
"124";601;4;0,08197748581984
"125";621;1;0,0477241477255127
"126";621;2;0,046598905234273
"127";621;3;0,0524959767475623
"128";621;4;0,0941934969780714
"129";641;1;0,0572378791695528
"130";641;2;0,0176130954319496
"131";641;3;0,0448440793425795
"132";641;4;0,0681453506861676
"133";661;1;0,0531170884332364
"134";661;2;0,0411486074122784
"135";661;3;0,0600947977044328
"136";661;4;0,078242375825205
"137";681;1;0,0296927173669496
"138";681;2;0,0113482126570095
"139";681;3;0,0647570858709746
"140";681;4;0,0626469972561201
"141";701;1;0,0517205305834957
"142";701;2;0,0257661149541655
"143";701;3;0,0416944511661962
"144";701;4;0,049209184284765
"145";721;1;0,0417110569960169
"146";721;2;0,0214766936634523
"147";721;3;0,0433264213849023
"148";721;4;0,0619729954386499
