"";"day";"patch";"spz_samp"
"1";1;1;0,00852294232619953
"2";1;2;0,0152845857873809
"3";1;3;0,00833679736960965
"4";1;4;0,0116537993721364
"5";21;1;0,000112536096907173
"6";21;2;7,11307773451143e-05
"7";21;3;0,00310142737485599
"8";21;4;0,000539338461055757
"9";41;1;0,00089448487153596
"10";41;2;6,0902018320344e-07
"11";41;3;0,00131335091605365
"12";41;4;0,000447044951999609
"13";61;1;0,00469565922215349
"14";61;2;1,29581570003285e-05
"15";61;3;0,00152505750613866
"16";61;4;8,21320198002432e-05
"17";81;1;0,000361193569442959
"18";81;2;4,48000195580183e-07
"19";81;3;4,56311110128042e-07
"20";81;4;3,02939487006852e-06
"21";101;1;0,000320088993386207
"22";101;2;0,00208407440134329
"23";101;3;0,00245749479792951
"24";101;4;0,00946525563224647
"25";121;1;0,00343092669190291
"26";121;2;2,93493958621738e-06
"27";121;3;0,00814475107936214
"28";121;4;0,00899365020772744
"29";141;1;0,00383905466557244
"30";141;2;0,000106489378240514
"31";141;3;1,22292098842897e-05
"32";141;4;0,00117344311943242
"33";161;1;0,00224000858502587
"34";161;2;5,83325422076189e-05
"35";161;3;0,00398522080851135
"36";161;4;0,00242387032731837
"37";181;1;0,00468209060951604
"38";181;2;0,00066815633979916
"39";181;3;0,000246810405075511
"40";181;4;0,00551442911185459
"41";201;1;0,0014601402556053
"42";201;2;0,00118478504258944
"43";201;3;0,0131962727030119
"44";201;4;0,00724203158324489
"45";221;1;0,00728637871410176
"46";221;2;0,000326840205848807
"47";221;3;0,00320590553202155
"48";221;4;0,00473484324962887
"49";241;1;0,00911570036265971
"50";241;2;0,00243563847769893
"51";241;3;0,0178595470604309
"52";241;4;0,0228853512431217
"53";261;1;0,00938385492132471
"54";261;2;0,0084828979012266
"55";261;3;0,0115319487712205
"56";261;4;0,0208375169596574
"57";281;1;0,0246518434778532
"58";281;2;0,0156348147475477
"59";281;3;0,014255225585315
"60";281;4;0,036952102720409
"61";301;1;0,00936445479670958
"62";301;2;0,0102841788411498
"63";301;3;0,00538110552481988
"64";301;4;0,042261017364364
"65";321;1;0,021841565366343
"66";321;2;0,0111355257270084
"67";321;3;0,0115181666319013
"68";321;4;0,0203899117814893
"69";341;1;0,00360388504164178
"70";341;2;0,0058975889985465
"71";341;3;0,0125538873473288
"72";341;4;0,022437607708329
"73";361;1;0,00738602788595138
"74";361;2;0,0050485064488321
"75";361;3;0,00821834896475256
"76";361;4;0,000829403884626551
"77";381;1;0,00299565097840156
"78";381;2;4,76077488625271e-05
"79";381;3;0,0167867618456045
"80";381;4;0,00275448582530377
"81";401;1;0,00014805865642848
"82";401;2;0,00499657575884445
"83";401;3;0,000815811293547315
"84";401;4;0,0151196936176622
"85";421;1;0,000260521845225513
"86";421;2;0,00651687287475772
"87";421;3;0,00323498191670057
"88";421;4;0,00481564713056093
"89";441;1;0,000214750257421526
"90";441;2;0,000126239107952998
"91";441;3;0,00388548862220317
"92";441;4;4,14872658227658e-05
"93";461;1;9,46077746214626e-06
"94";461;2;4,45811241221953e-09
"95";461;3;1,17034547735744e-07
"96";461;4;5,14383681098222e-05
"97";481;1;8,77905829734912e-05
"98";481;2;1,25604280297307e-10
"99";481;3;0,000282729186706578
"100";481;4;5,45175428050296e-05
"101";501;1;0,000136712493034181
"102";501;2;0,00011878394143835
"103";501;3;0,000114028194616876
"104";501;4;0,00398902228729059
"105";521;1;0,00191087203637489
"106";521;2;0,000229628233018623
"107";521;3;0,00109505323755007
"108";521;4;0,00518353911840235
"109";541;1;0,0172453774499652
"110";541;2;8,07704811419721e-06
"111";541;3;0,00425104114575666
"112";541;4;0,000246301215734982
"113";561;1;0,019707899928592
"114";561;2;0,00500923402443186
"115";561;3;0,00182524772702361
"116";561;4;0,00117201090654726
"117";581;1;0,00391981722906518
"118";581;2;0,00186157774234169
"119";581;3;0,00442753537021692
"120";581;4;0,0101558852209911
"121";601;1;0,00858028945564825
"122";601;2;0,0178044166779754
"123";601;3;0,00319160226922677
"124";601;4;0,0109658839984856
"125";621;1;0,025407017621503
"126";621;2;0,0114584410681825
"127";621;3;0,0130329103195258
"128";621;4;0,0665161129319665
"129";641;1;0,0155049881650847
"130";641;2;0,0101365985917286
"131";641;3;0,0194564328379374
"132";641;4;0,0188740720399933
"133";661;1;0,0277207877860529
"134";661;2;0,00186490994291852
"135";661;3;0,0200458380704722
"136";661;4;0,0165194414246066
"137";681;1;0,0142026545704234
"138";681;2;0,00194203438196925
"139";681;3;0,0179724520516942
"140";681;4;0,00442743905773377
"141";701;1;0,0148997503807868
"142";701;2;0,00522536736120955
"143";701;3;0,0076964907807954
"144";701;4;0,0200059594865337
"145";721;1;0,00600517706790943
"146";721;2;0,00226186600315026
"147";721;3;0,0102484488970352
"148";721;4;0,0215748993832461
