map.area,utm.x,utm.y,ad2,n,trip.counts,t_eg,ti_ban,ti_lub,ti_mal,ti_mok,ti_ria,ti_ure,pop,year
12,468941.274440845,416999.623012278,Peri,0,0,0,0,0,0,0,0,0,1,2015
12,468941.274440845,416999.623012278,Peri,0,0,0,0,0,0,0,0,0,1,2016
12,468941.274440845,416999.623012278,Peri,2,0,0,0,0,0,0,0,0,1,2017
12,468941.274440845,416999.623012278,Peri,3,1,0,0,0,1,0,0,0,3,2018
13,469939.852132503,416999.307403873,Peri,12,4,4,0,0,0,0,0,0,69,2015
13,469939.852132503,416999.307403873,Peri,5,1,1,0,0,0,0,0,0,69,2016
13,469939.852132503,416999.307403873,Peri,11,0,0,0,0,0,0,0,0,69,2017
13,469939.852132503,416999.307403873,Peri,7,3,1,1,0,2,0,0,0,40,2018
14,464946.595824045,416006.909378896,Peri,13,3,2,0,1,0,0,0,0,59,2015
14,464946.595824045,416006.909378896,Peri,10,4,1,0,3,0,0,0,0,59,2016
14,464946.595824045,416006.909378896,Peri,2,1,0,0,0,0,0,1,0,59,2017
14,464946.595824045,416006.909378896,Peri,9,1,0,0,0,1,0,0,0,65,2018
16,466943.777282451,416006.207603887,Peri,0,0,0,0,0,0,0,0,0,47,2015
16,466943.777282451,416006.207603887,Peri,4,0,0,0,0,0,0,0,0,47,2016
16,466943.777282451,416006.207603887,Peri,1,0,0,0,0,0,0,0,0,47,2017
16,466943.777282451,416006.207603887,Peri,5,0,0,0,0,0,0,0,0,48,2018
18,468940.955507491,416005.547012179,Peri,48,7,7,0,0,0,0,0,0,245,2015
18,468940.955507491,416005.547012179,Peri,19,8,6,0,2,0,0,0,0,245,2016
18,468940.955507491,416005.547012179,Peri,16,4,4,0,0,0,0,0,0,245,2017
18,468940.955507491,416005.547012179,Peri,70,9,4,1,1,4,0,0,0,243,2018
19,469939.54346587,416005.232120581,Peri,8,0,0,0,0,0,0,0,0,39,2015
19,469939.54346587,416005.232120581,Peri,4,0,0,0,0,0,0,0,0,39,2016
19,469939.54346587,416005.232120581,Peri,9,1,1,0,0,0,0,0,0,39,2017
19,469939.54346587,416005.232120581,Peri,7,0,0,0,0,0,0,0,0,43,2018
24,475931.05654098,416003.55902887,Malabo,26,8,8,0,0,0,0,0,0,691,2015
24,475931.05654098,416003.55902887,Malabo,45,15,15,0,0,0,0,0,0,691,2016
24,475931.05654098,416003.55902887,Malabo,27,3,1,0,2,0,0,0,0,691,2017
24,475931.05654098,416003.55902887,Malabo,31,10,9,0,0,1,0,0,0,609,2018
25,476929.639841107,416003.316195561,Malabo,278,50,40,3,5,0,1,1,0,3185,2015
25,476929.639841107,416003.316195561,Malabo,232,41,26,9,2,2,0,1,1,3185,2016
25,476929.639841107,416003.316195561,Malabo,195,17,10,2,2,0,1,2,0,3185,2017
25,476929.639841107,416003.316195561,Malabo,250,38,16,15,2,9,2,1,0,2666,2018
26,477928.222549386,416003.083653864,Malabo,310,39,15,16,8,0,0,0,0,3384,2015
26,477928.222549386,416003.083653864,Malabo,308,57,39,6,9,0,3,0,0,3384,2016
26,477928.222549386,416003.083653864,Malabo,264,39,17,12,8,1,1,0,0,3384,2017
26,477928.222549386,416003.083653864,Malabo,290,47,18,16,1,13,2,0,0,2770,2018
40,468940.637332486,415011.471203893,Peri,17,1,1,0,0,0,0,0,0,43,2015
40,468940.637332486,415011.471203893,Peri,4,0,0,0,0,0,0,0,0,43,2016
40,468940.637332486,415011.471203893,Peri,2,0,0,0,0,0,0,0,0,43,2017
40,468940.637332486,415011.471203893,Peri,9,2,2,0,0,0,0,0,0,27,2018
41,469939.235482504,415011.157103891,Peri,6,1,1,0,0,0,0,0,0,47,2015
41,469939.235482504,415011.157103891,Peri,8,3,3,0,0,0,0,0,0,47,2016
41,469939.235482504,415011.157103891,Peri,1,0,0,0,0,0,0,0,0,47,2017
41,469939.235482504,415011.157103891,Peri,1,0,0,0,0,0,0,0,0,64,2018
42,470937.832949264,415010.85325388,Malabo,6,1,1,0,0,0,0,0,0,247,2015
42,470937.832949264,415010.85325388,Malabo,10,4,4,0,0,0,0,0,0,247,2016
42,470937.832949264,415010.85325388,Malabo,12,2,2,0,0,0,0,0,0,247,2017
42,470937.832949264,415010.85325388,Malabo,17,1,0,0,0,0,1,1,0,266,2018
43,471936.42969091,415010.559678883,Malabo,12,3,3,0,0,0,0,0,0,302,2015
43,471936.42969091,415010.559678883,Malabo,38,8,8,0,0,0,0,0,0,302,2016
43,471936.42969091,415010.559678883,Malabo,24,9,9,0,0,0,0,0,0,302,2017
43,471936.42969091,415010.559678883,Malabo,20,1,0,0,0,1,0,0,0,317,2018
44,472935.025749299,415010.276353878,Malabo,19,3,3,0,0,0,0,0,0,545,2015
44,472935.025749299,415010.276353878,Malabo,19,2,2,0,0,0,0,0,0,545,2016
44,472935.025749299,415010.276353878,Malabo,30,6,5,0,1,0,0,0,0,545,2017
44,472935.025749299,415010.276353878,Malabo,31,1,1,0,0,0,0,0,0,478,2018
45,473933.62111594,415010.003270586,Malabo,45,15,15,0,0,0,0,0,0,841,2015
45,473933.62111594,415010.003270586,Malabo,39,11,11,0,0,0,0,0,0,841,2016
45,473933.62111594,415010.003270586,Malabo,45,3,3,0,0,0,0,0,0,841,2017
45,473933.62111594,415010.003270586,Malabo,53,4,2,1,0,2,1,0,0,756,2018
46,474932.215840963,415009.74047888,Malabo,280,58,48,8,1,1,0,0,0,3237,2015
46,474932.215840963,415009.74047888,Malabo,271,54,42,3,6,0,2,1,0,3237,2016
46,474932.215840963,415009.74047888,Malabo,256,37,31,2,1,1,1,1,0,3237,2017
46,474932.215840963,415009.74047888,Malabo,371,64,49,2,1,15,0,0,0,2708,2018
47,475930.809957723,415009.487978871,Malabo,884,222,202,8,9,0,0,3,0,11034,2015
47,475930.809957723,415009.487978871,Malabo,802,151,134,6,9,0,1,1,0,11034,2016
47,475930.809957723,415009.487978871,Malabo,538,98,70,12,12,1,0,3,0,11034,2017
47,475930.809957723,415009.487978871,Malabo,827,150,87,17,5,45,2,1,0,9718,2018
48,476929.403474365,415009.245695578,Malabo,947,194,153,21,12,0,0,8,0,13054,2015
48,476929.403474365,415009.245695578,Malabo,786,165,137,8,9,2,1,8,0,13054,2016
48,476929.403474365,415009.245695578,Malabo,776,113,79,16,14,0,2,2,0,13054,2017
48,476929.403474365,415009.245695578,Malabo,978,193,107,12,7,62,1,10,0,11420,2018
49,477927.996457758,415009.013678869,Malabo,695,114,87,9,9,4,1,4,0,10886,2015
49,477927.996457758,415009.013678869,Malabo,631,75,50,9,12,1,1,2,0,10886,2016
49,477927.996457758,415009.013678869,Malabo,580,117,70,22,15,0,3,7,0,10886,2017
49,477927.996457758,415009.013678869,Malabo,816,143,71,20,1,70,1,1,0,9281,2018
50,478926.588849404,415008.791953872,Baney,15,0,0,0,0,0,0,0,0,308,2015
50,478926.588849404,415008.791953872,Baney,25,4,3,0,1,0,0,0,0,308,2016
50,478926.588849404,415008.791953872,Baney,3,0,0,0,0,0,0,0,0,308,2017
50,478926.588849404,415008.791953872,Baney,31,7,0,0,0,7,0,0,0,571,2018
51,479925.180766164,415008.580503864,Baney,54,2,1,0,1,0,0,0,0,551,2015
51,479925.180766164,415008.580503864,Baney,63,17,16,0,0,1,0,0,0,551,2016
51,479925.180766164,415008.580503864,Baney,30,5,5,0,0,0,0,0,0,551,2017
51,479925.180766164,415008.580503864,Baney,40,12,3,2,0,6,0,0,0,1012,2018
52,480923.772182807,415008.37927057,Baney,81,40,20,1,4,13,0,2,0,1568,2015
52,480923.772182807,415008.37927057,Baney,99,50,31,0,3,16,0,0,0,1568,2016
52,480923.772182807,415008.37927057,Baney,68,17,12,0,1,3,0,1,0,1568,2017
52,480923.772182807,415008.37927057,Baney,106,10,6,1,0,3,0,0,0,2001,2018
53,481922.363116199,415008.188303862,Baney,3,2,0,1,0,1,0,0,0,53,2015
53,481922.363116199,415008.188303862,Baney,12,6,6,0,0,0,0,0,0,53,2016
53,481922.363116199,415008.188303862,Baney,7,0,0,0,0,0,0,0,0,53,2017
53,481922.363116199,415008.188303862,Baney,10,2,0,0,0,2,0,0,0,69,2018
65,466943.100815818,414018.053070603,Peri,5,1,1,0,0,0,0,0,0,120,2018
66,467941.710749104,414017.719237204,Peri,2,0,0,0,0,0,0,0,0,8,2018
67,468940.319915853,414017.3956206,Peri,52,1,1,0,0,0,0,0,0,316,2015
67,468940.319915853,414017.3956206,Peri,45,10,10,0,0,0,0,0,0,316,2016
67,468940.319915853,414017.3956206,Peri,15,4,4,0,0,0,0,0,0,316,2017
67,468940.319915853,414017.3956206,Peri,15,5,4,0,1,2,0,0,0,473,2018
68,469938.928290876,414017.082278895,Peri,0,0,0,0,0,0,0,0,0,108,2015
