time,state,patch1,patch2,patch3,patch4,patch5,patch6,patch7,patch8,patch9,patch10,patch11,patch12,patch13,patch14,patch15,patch16,patch17,patch18,patch19,patch20,patch21,patch22,patch23,patch24,patch25,patch26,patch27,patch28,patch29,patch30,patch31,patch32,patch33,patch34,patch35,patch36,patch37,patch38,patch39,patch40,patch41,patch42,patch43,patch44,patch45,patch46,patch47,patch48,patch49,patch50,patch51,patch52,patch53,patch54,patch55,patch56,patch57,patch58,patch59,patch60,patch61,patch62,patch63,patch64,patch65,patch66,patch67,patch68,patch69,patch70,patch71,patch72,patch73,patch74,patch75,patch76,patch77,patch78,patch79,patch80,patch81,patch82,patch83,patch84,patch85,patch86,patch87,patch88,patch89,patch90,patch91,patch92,patch93,patch94,patch95,patch96,patch97,patch98,patch99,patch100,patch101,patch102,patch103,patch104,patch105,patch106,patch107,patch108,patch109,patch110,patch111,patch112,patch113,patch114,patch115,patch116,patch117,patch118,patch119,patch120,patch121,patch122,patch123,patch124,patch125,patch126,patch127,patch128,patch129,patch130,patch131,patch132,patch133,patch134,patch135,patch136,patch137,patch138,patch139,patch140,patch141,patch142,patch143,patch144,patch145,patch146,patch147,patch148,patch149,patch150,patch151,patch152,patch153,patch154,patch155,patch156,patch157,patch158,patch159,patch160,patch161,patch162,patch163,patch164,patch165,patch166,patch167,patch168,patch169,patch170,patch171,patch172,patch173,patch174,patch175,patch176,patch177,patch178,patch179,patch180,patch181,patch182,patch183,patch184,patch185,patch186,patch187,patch188,patch189,patch190,patch191,patch192,patch193,patch194,patch195,patch196,patch197,patch198,patch199,patch200,patch201,patch202,patch203,patch204,patch205,patch206,patch207,patch208,patch209,patch210,patch211,patch212,patch213,patch214,patch215,patch216,patch217,patch218,patch219,patch220,patch221,patch222,patch223,patch224,patch225,patch226,patch227,patch228,patch229,patch230,patch231,patch232,patch233,patch234,patch235,patch236,patch237,patch238,patch239,patch240,patch241,patch242
0,M,0.898563,11.7367,26.8442,24.9117,78.7674,12.856,74.0108,651.456,697.898,4.96066,18.0616,87.5833,74.6916,80.6255,6.52569,576.358,1889.45,2610.13,2514.65,186.316,322.981,710.016,20.5355,44.2449,2.66694,141.945,37.8028,126.352,68.0129,578.867,2679.39,2677.28,3891.44,3556.15,1595.7,1230.74,151.746,34.9758,0.790112,298.944,130.831,11.2254,6.4943,41.0526,501.023,155.105,2008.5,2706.24,3666.06,638.114,401.608,1268.87,80.0052,3.8404,32.6701,1.0033,11.5645,83.4031,395.002,154.439,21.8919,81.5434,953.023,963.899,1058.74,1585.34,811.624,110.116,23.7314,264.185,0,0,503.352,48.6995,973.571,37.856,95.9233,94.8441,130.49,17.2542,184.121,493.171,308.343,494.336,1096.95,218.045,330.306,144.825,26.0009,126.235,0.979826,456.952,12.49,309.425,10.8988,16.6729,1.49211,62.1586,4.19961,0.60388,4.7117,23.1929,0.362715,13.3157,27.3686,13.4211,7.08955,24.6432,0.0253483,505.386,17.0929,15.0333,20.3108,10.2145,0.352436,0.82463,27.7776,69.8837,10.0202,7.53698,62.9943,44.027,17.6073,1.72635,4.56064,16.5619,7.11532,27.5014,2.36719,4.96636,22.95,16.7936,27.8911,15.8133,61.9487,7.72294,0,43.2468,3.171,1.90129,96.7365,6.87142,49.034,45.4102,19.4479,41.4677,10.3751,12.0193,3.21854,10.8306,41.5151,3.83663,2.23297,6.98958,33.2517,34.7695,3.90453,23.4768,13.2309,3.66136,0,1.58841,19.2265,0.697214,16.3845,84.5154,6.98857,1.28946,5.76968,1.00992,1.29605,30.369,4.03001,1.52794,65.0116,8.03512,16.1557,40.1216,203.056,641.214,22.354,5.37758,10.0662,8.45014,7.62309,2.94725,25.1345,53.4023,228.304,1.45426,6.48017,6.70519,50.8297,20.1834,2.48104,1.89088,0.930512,1.97552,0,0.369896,2.8259,22.7028,0.291687,2.22769,21.5799,5.40718,1.37987,0,16.4403,53.3419,24.5248,1.70386,54.8174,13.8095,0,0,0,0,30.3784,24.2464,1.63089,17.0273,99.3142,10.9262,2.28202,6.89363,12.6774,47.5934,108.95,0.292313,0.483537,1.26898,7.38784,0,73.1865,14.0653,66.2488,8.78037,4.2782,5.60972,10.5743,5178.58
0,Y,0.0598464,0.650823,3.15282,2.68837,5.40299,0.788689,1.59603,27.7708,33.5062,0.140945,1.02011,5.42436,2.79385,2.6777,0.103583,21.9805,62.9384,106.679,128.105,13.0731,19.3907,55.8692,0.967233,4.1478,0.259839,6.50501,2.32852,5.86519,5.47905,32.7368,130.352,72.8851,169.461,170.66,68.1181,66.6268,8.13461,1.7247,0.0858279,27.7005,12.5841,0.988254,0.239962,1.38175,42.0234,9.56977,107.195,100.598,155.924,14.0323,8.92127,48.8031,1.35359,0.0721576,0.841042,0.0192927,1.60065,8.81915,41.8453,11.094,1.0183,3.9211,43.6323,30.0672,42.5356,105.376,22.3809,2.71979,1.01079,7.63845,0,0,11.8759,0.825876,109.167,3.17073,9.16544,4.86535,4.88373,0.847417,9.48268,14.2278,14.737,20.0481,73.0481,9.89457,8.9748,3.27126,2.42731,10.657,0.0787898,29.7533,0.939898,26.269,0.655893,0.524097,0.0328713,3.08753,0.0314921,0.0196769,0.18991,2.55679,0.0342331,1.0278,1.94003,1.13409,0.162714,0.554032,0.000263767,5.95345,0.310364,0.819935,2.01519,1.04371,0.00405995,0.0113441,3.67124,8.52096,0.327469,0.090074,3.12111,3.90553,1.62374,0.0380305,0.170638,0.155455,0.738561,4.86514,0.0162509,0.325961,1.0862,0.387692,0.907507,0.537314,0.899376,0.0354101,0,0.383816,0.332019,0.0499372,2.96016,0.48482,2.78581,0.860772,0.341717,1.76114,0.905369,0.56829,0.452011,1.66581,0.816879,0.682756,0.248857,0.0955055,1.77202,2.42214,0.158874,0.503467,0.301957,0.0708545,0,0.0854434,0.545874,0.0482501,1.04421,3.35648,0.193077,0.0774031,0.208905,0.0207981,0.0565898,1.15631,0.315013,0.126665,3.68019,0.243955,0.349651,1.59434,4.81888,69.2668,4.8288,0.253349,0.402333,0.211005,0.133507,0.0443916,1.86214,0.959275,23.8115,0.0365433,0.331566,0.208764,1.21472,0.575089,0.127847,0.0475076,0.0737854,0.0808577,0,0.0097128,0.118251,0.840797,0.00556473,0.150018,0.92694,0.14525,0.038163,0,1.03831,5.59393,1.41555,0.0687001,3.25121,0.668916,0,0,0,0,2.13995,0.67471,0.0300035,0.910426,6.92261,0.393844,0.142278,0.435694,0.778591,3.23066,6.67676,0.0180656,0.0128112,0.0653821,0.34115,0,3.7334,0.784994,7.51152,0.495205,0.281624,0.419596,0.456679,0
0,Z,0.0208671,0.203302,1.00036,0.858118,1.69493,0.239027,0.492531,8.66745,10.4331,0.0440877,0.31785,1.65831,0.871243,0.827313,0.0333547,6.90954,19.7908,33.4848,40.3018,4.01796,6.16043,17.6656,0.301018,1.33687,0.0776569,2.04471,0.707788,1.81629,1.72292,10.2583,40.7535,22.8334,53.2414,53.6874,21.6514,20.951,2.61174,0.530322,0.0299263,8.61495,3.9184,0.320325,0.0762845,0.447671,13.1449,2.9971,33.5981,31.6203,48.8606,4.41137,2.82106,15.3525,0.421618,0.0251598,0.271809,0.00672696,0.514272,2.7729,13.1111,3.51774,0.301447,1.25976,13.745,9.38385,13.2977,32.7607,7.08428,0.853303,0.30634,2.40629,0,0,3.75527,0.261095,34.1116,0.955296,2.84091,1.53991,1.51126,0.263215,2.99703,4.4696,4.61505,6.27792,22.9419,3.12851,2.78139,1.01828,0.75312,3.29601,0.0274723,9.43455,0.301098,8.2172,0.200347,0.16968,0.0114615,0.987702,0.0109806,0.00265073,0.0598061,0.815144,0.0119363,0.328416,0.614594,0.35859,0.054458,0.169323,6.97743e-05,1.85481,0.100479,0.239138,0.640541,0.310049,0.00141562,0.00395543,1.14806,2.64111,0.100438,0.0279544,0.986466,1.23793,0.514912,0.0132604,0.056228,0.0478494,0.229019,1.54432,0.00521543,0.102008,0.341502,0.131316,0.262195,0.156977,0.28124,0.0117566,0,0.125397,0.0976233,0.014494,0.929348,0.151734,0.884631,0.26224,0.109724,0.561716,0.298148,0.166347,0.144406,0.537101,0.277858,0.229082,0.0724721,0.0270033,0.550777,0.737307,0.05186,0.167076,0.0917209,0.0215284,0,0.0226207,0.173453,0.0168238,0.333694,1.0509,0.0622604,0.0269888,0.0570072,0.00725185,0.0197316,0.369315,0.109838,0.0441653,1.14287,0.0696944,0.115212,0.495186,1.4976,21.6835,1.5574,0.0810716,0.125053,0.0621768,0.0420428,0.0154784,0.577452,0.297188,7.44948,0.0105074,0.106431,0.0655257,0.388733,0.181276,0.0445777,0.0165649,0.0216395,0.0221937,0,0.00338665,0.0348157,0.25909,0.0019403,0.0411358,0.28923,0.0480796,0.0133066,0,0.318182,1.75926,0.456221,0.0239542,1.01411,0.218918,0,0,0,0,0.651718,0.21858,0.0104616,0.296293,2.24105,0.117822,0.045813,0.128885,0.254607,1.01769,2.11412,0.0062991,0.00386046,0.0227973,0.103547,0,1.18829,0.221392,2.40261,0.152353,0.0826322,0.134006,0.142143,0
1,M,0.808706,10.5631,25.0598,23.3206,76.2907,12.4704,72.9097,649.31,682.108,5.36459,18.0555,89.625,72.6224,84.263,5.87312,580.822,1879.6,2622.72,2498.99,191.984,325.783,698.415,22.982,45.2204,2.40024,143.95,36.7225,129.917,65.7116,574.08,2667.05,2657.95,3878.49,3565.04,1595.43,1221.07,154.572,35.9782,0.7111,292.45,126.748,12.8028,5.84487,41.4473,508.521,149.494,1997.55,2721.81,3699.95,645.402,395.647,1265.29,77.4047,3.45636,32.1031,0.902972,12.208,83.1628,400.502,151.595,20.6027,79.689,952.22,970.109,1072.57,1596.91,818.661,112.604,22.2583,265.667,0,0,518.717,44.7295,976.114,37.6704,99.8309,93.4597,136.341,15.5288,188.209,503.254,299.109,491.703,1114.15,227.741,326.075,147.442,26.1009,125.312,0.881843,465.257,11.241,309.083,10.7089,15.0056,2.2429,62.2427,3.77965,0.543492,5.14053,25.3736,0.326444,11.9842,28.2317,12.979,6.38059,26.6789,0.0228135,497.148,15.3836,15.3299,20.9797,10.993,0.317192,0.742167,29.4998,66.4953,9.9182,6.78328,62.9949,45.9243,17.6466,1.55371,5.00457,16.7058,7.30378,30.1512,3.93047,6.26972,21.555,16.0142,26.002,16.032,62.0538,7.85064,0,44.3221,2.8539,1.71116,98.7628,7.08428,54.9306,47.1692,20.2031,45.4209,11.1376,11.7174,2.89669,9.74756,40.0636,4.35297,2.00967,6.29062,32.6265,33.9926,3.51407,23.8292,12.8078,3.29523,0,1.42957,19.1039,0.627492,17.446,82.3639,6.28972,1.16052,5.19271,0.908929,1.16644,30.9321,4.52701,1.37515,69.3104,9.03161,18.1402,39.7094,199.851,643.693,21.0186,4.83982,9.95954,7.60513,6.86078,3.55253,27.121,53.4621,223.474,1.30883,5.83215,6.03467,50.2468,20.8651,2.23294,1.70179,0.83746,1.77797,0,0.332906,2.54331,21.3326,0.262518,2.00492,22.1219,4.86646,1.24188,0,16.5963,53.4077,22.9723,1.53348,51.1356,12.4285,0,0,0,0,34.5406,24.5217,1.4678,17.1246,98.3828,10.7336,2.05382,6.20426,13.2096,49.134,108.855,0.263081,0.435183,1.14208,7.54905,0,73.9678,12.6587,74.9239,7.90234,3.85038,6.84875,11.3168,4660.72
1,Y,0.0538617,0.646353,3.10062,2.63116,5.3865,0.809512,1.61704,27.8769,33.6348,0.142564,1.02655,5.56576,2.80109,2.72202,0.100346,21.964,62.7299,106.639,127.694,13.338,19.1792,55.3721,0.987316,4.05507,0.266757,6.50484,2.37401,5.95374,5.44938,32.7401,130.672,72.9096,169.157,170.244,67.311,66.4165,7.97874,1.76189,0.0772451,27.8359,12.625,0.969844,0.234963,1.34249,42.2141,9.53891,107.218,100.467,156.193,14.0211,8.84081,48.6626,1.35785,0.0649419,0.817391,0.0173635,1.57476,8.80121,41.9074,10.9707,1.06043,3.83014,43.4683,30.2065,42.73,106.304,22.2249,2.72157,1.03323,7.60795,0,0,11.8214,0.81398,109.581,3.28096,9.31083,4.82106,4.97007,0.845479,9.43199,14.2438,14.7081,20.0659,73.0813,9.85989,9.06178,3.30141,2.45281,10.7846,0.0709108,29.5147,0.914179,26.3404,0.669988,0.505323,0.0295842,3.0342,0.0283429,0.0283563,0.191046,2.54337,0.0308098,1.0018,1.92951,1.12264,0.152315,0.572775,0.000294536,5.97511,0.299275,0.87432,1.99849,1.10591,0.00365395,0.0102096,3.70919,8.54477,0.333697,0.0899663,3.10105,3.88712,1.60886,0.0342275,0.163914,0.158291,0.74873,4.86573,0.0167786,0.336078,1.07758,0.359497,0.961096,0.571742,0.902381,0.03359,0,0.370229,0.344809,0.0524414,2.96531,0.487622,2.78765,0.887595,0.335654,1.75018,0.869364,0.600015,0.440423,1.61058,0.754498,0.644762,0.260131,0.102167,1.78334,2.47956,0.152088,0.477818,0.309369,0.0719487,0,0.0951601,0.539402,0.043425,1.03307,3.3543,0.186806,0.0696628,0.228553,0.0187183,0.0509308,1.13973,0.283512,0.113998,3.74245,0.269127,0.336344,1.60714,4.85222,69.4477,4.68354,0.246692,0.405289,0.219204,0.131773,0.0399525,1.89921,0.970395,23.8191,0.0386307,0.322001,0.206582,1.19196,0.574694,0.115063,0.0427569,0.0768161,0.0881187,0,0.00874152,0.122875,0.848291,0.00500826,0.163415,0.934206,0.137338,0.0343467,0,1.06134,5.56551,1.37411,0.0618301,3.24443,0.638869,0,0,0,0,2.23579,0.655666,0.0270032,0.880528,6.72178,0.409288,0.137799,0.450972,0.751393,3.23039,6.62237,0.0162591,0.0130899,0.0588439,0.352159,0,3.68935,0.84003,7.47337,0.497753,0.293191,0.421316,0.463593,0
1,Z,0.0208671,0.203302,1.00036,0.858118,1.69493,0.239027,0.492531,8.66745,10.4331,0.0440877,0.31785,1.65831,0.871243,0.827313,0.0333547,6.90954,19.7908,33.4848,40.3018,4.01796,6.16043,17.6656,0.301018,1.33687,0.0776569,2.04471,0.707788,1.81629,1.72292,10.2583,40.7535,22.8334,53.2414,53.6874,21.6514,20.951,2.61174,0.530322,0.0299263,8.61495,3.9184,0.320325,0.0762845,0.447671,13.1449,2.9971,33.5981,31.6203,48.8606,4.41137,2.82106,15.3525,0.421618,0.0251598,0.271809,0.00672696,0.514272,2.7729,13.1111,3.51774,0.301447,1.25976,13.745,9.38385,13.2977,32.7607,7.08428,0.853303,0.30634,2.40629,0,0,3.75527,0.261095,34.1116,0.955296,2.84091,1.53991,1.51126,0.263215,2.99703,4.4696,4.61505,6.27792,22.9419,3.12851,2.78139,1.01828,0.75312,3.29601,0.0274723,9.43455,0.301098,8.2172,0.200347,0.16968,0.0114615,0.987702,0.0109806,0.00265073,0.0598061,0.815144,0.0119363,0.328416,0.614594,0.35859,0.054458,0.169323,6.97743e-05,1.85481,0.100479,0.239138,0.640541,0.310049,0.00141562,0.00395543,1.14806,2.64111,0.100438,0.0279544,0.986466,1.23793,0.514912,0.0132604,0.056228,0.0478494,0.229019,1.54432,0.00521543,0.102008,0.341502,0.131316,0.262195,0.156977,0.28124,0.0117566,0,0.125397,0.0976233,0.014494,0.929348,0.151734,0.884631,0.26224,0.109724,0.561716,0.298148,0.166347,0.144406,0.537101,0.277858,0.229082,0.0724721,0.0270033,0.550777,0.737307,0.05186,0.167076,0.0917209,0.0215284,0,0.0226207,0.173453,0.0168238,0.333694,1.0509,0.0622604,0.0269888,0.0570072,0.00725185,0.0197316,0.369315,0.109838,0.0441653,1.14287,0.0696944,0.115212,0.495186,1.4976,21.6835,1.5574,0.0810716,0.125053,0.0621768,0.0420428,0.0154784,0.577452,0.297188,7.44948,0.0105074,0.106431,0.0655257,0.388733,0.181276,0.0445777,0.0165649,0.0216395,0.0221937,0,0.00338665,0.0348157,0.25909,0.0019403,0.0411358,0.28923,0.0480796,0.0133066,0,0.318182,1.75926,0.456221,0.0239542,1.01411,0.218918,0,0,0,0,0.651718,0.21858,0.0104616,0.296293,2.24105,0.117822,0.045813,0.128885,0.254607,1.01769,2.11412,0.0062991,0.00386046,0.0227973,0.103547,0,1.18829,0.221392,2.40261,0.152353,0.0826322,0.134006,0.142143,0
2,M,0.727836,11.3067,23.4538,26.3885,75.8616,12.1234,76.4188,652.779,685.898,4.82813,16.2499,91.4625,68.9602,83.9367,7.08581,590.24,1900.44,2638.55,2501.99,187.186,331.905,712.273,22.4838,51.4983,2.16022,142.155,34.8502,132.225,64.5404,566.172,2666.75,2666.65,3897.44,3547.83,1587.99,1219.56,151.714,33.2804,2.43999,290.205,128.473,14.2225,6.16038,40.9026,516.169,153.445,2022.8,2716.03,3708.86,642.062,399.282,1255.76,75.9642,3.11072,30.6927,0.812675,10.9872,80.2465,399.152,153.536,19.4424,82.5201,953.298,967.598,1061.61,1585.72,815.995,116.644,21.8325,269.7,0,0,513.645,44.7566,957.702,36.6033,97.9478,94.0137,135.307,16.6759,188.288,494.328,295.298,495.632,1123.34,224.767,331.268,143.498,26.1908,127.18,0.793659,458.331,11.9169,306.074,9.63802,15.3051,2.01861,60.5185,4.30169,0.489143,4.62648,26.4362,0.293799,12.5857,28.1086,12.5811,6.64253,27.611,0.0205322,500.533,16.5452,14.6969,19.7818,9.89371,0.285473,0.66795,26.5499,64.3458,8.92638,6.10495,62.9954,49.4319,17.6819,1.39834,4.50412,15.0352,6.57341,30.7361,4.43742,5.64275,20.2995,15.3128,28.8018,14.4288,62.1485,7.06558,0,44.3899,3.46851,1.54005,99.6865,8.17585,58.4375,48.7522,18.1828,45.3788,10.9238,11.4457,2.60702,11.4728,38.7572,3.91767,1.8087,6.56156,32.0639,33.2933,3.16267,24.1462,14.227,2.9657,0,1.28661,18.0935,0.564743,16.6014,81.3275,5.66074,1.04446,4.67344,0.818036,1.0498,29.6389,4.07431,1.23763,73.1794,9.02845,19.0261,40.2385,203.266,647.724,19.8168,5.25584,10.7636,9.54462,8.8747,3.19727,24.4089,49.0159,223.626,2.07795,7.04894,7.2312,52.4221,22.3786,2.00964,1.53161,0.753714,1.60017,0,0.299616,2.28898,19.1993,0.236266,2.70443,23.5097,5.27982,1.1177,0,16.7366,53.4669,22.4751,1.38013,56.8221,11.1857,0,0,0,0,31.9865,25.6695,1.32102,17.2121,93.9445,9.66021,1.84844,5.58384,12.7887,48.7206,109.669,0.236773,0.391665,1.02787,7.69415,0,74.6711,12.2929,73.7315,8.0121,4.36534,6.16387,10.1852,4194.65
2,Y,0.0484756,0.646872,3.03518,2.61125,5.35678,0.825152,1.64416,27.9945,33.7189,0.142407,1.01939,5.70682,2.79346,2.75297,0.0989655,21.9949,62.5507,106.641,127.249,13.5255,19.0311,55.0046,1.00266,4.02099,0.269244,6.4976,2.37934,6.04549,5.4002,32.6386,130.919,72.9298,168.883,169.743,66.5452,66.1411,7.82388,1.77873,0.0695206,27.932,12.6848,0.96297,0.231544,1.29838,42.443,9.52458,107.375,100.289,156.403,14.0135,8.75861,48.4811,1.35883,0.0584477,0.793427,0.0156271,1.53654,8.7559,41.9251,10.8741,1.09148,3.76072,43.2874,30.3103,42.8368,106.982,22.0801,2.73354,1.05084,7.57699,0,0,11.7481,0.803617,109.716,3.36584,9.40754,4.78558,5.04293,0.850178,9.38831,14.2214,14.6618,20.0798,73.119,9.79645,9.15686,3.31303,2.47651,10.9028,0.0638198,29.2461,0.895622,26.3756,0.67414,0.489159,0.0266258,2.98283,0.0255086,0.034909,0.189982,2.54258,0.0277288,0.982741,1.9052,1.1065,0.14321,0.592237,0.000316384,5.99215,0.291079,0.90549,1.97205,1.14275,0.00328856,0.00918868,3.69721,8.53388,0.335263,0.0889687,3.08309,3.88597,1.5959,0.0308047,0.156809,0.158912,0.748524,4.8773,0.0175431,0.340638,1.06377,0.333665,1.0236,0.582191,0.905443,0.031788,0,0.35822,0.367175,0.0539151,2.97102,0.493355,2.82229,0.91503,0.32735,1.73892,0.836,0.630614,0.426224,1.58484,0.697741,0.607319,0.266004,0.108855,1.78821,2.50634,0.144538,0.455312,0.320278,0.0720968,0,0.101857,0.53197,0.0390825,1.01832,3.35007,0.179833,0.0626965,0.241886,0.0168465,0.0458377,1.11887,0.255161,0.102599,3.82334,0.290301,0.325923,1.62099,4.88892,69.5931,4.51449,0.242409,0.411554,0.234217,0.133686,0.0359572,1.90847,0.973926,23.7841,0.0451113,0.318616,0.209059,1.17504,0.578588,0.103556,0.0384812,0.0783763,0.0929946,0,0.00786737,0.125292,0.846423,0.00450743,0.176666,0.947231,0.130565,0.030912,0,1.08304,5.51361,1.33469,0.0556471,3.27209,0.608908,0,0,0,0,2.29697,0.640885,0.0243028,0.854049,6.51832,0.417444,0.132749,0.458302,0.725309,3.21445,6.58239,0.0146332,0.013063,0.0529595,0.362908,0,3.64149,0.876606,7.40447,0.500796,0.309175,0.418231,0.465478,0
2,Z,0.0208671,0.203302,1.00036,0.858118,1.69493,0.239027,0.492531,8.66745,10.4331,0.0440877,0.31785,1.65831,0.871243,0.827313,0.0333547,6.90954,19.7908,33.4848,40.3018,4.01796,6.16043,17.6656,0.301018,1.33687,0.0776569,2.04471,0.707788,1.81629,1.72292,10.2583,40.7535,22.8334,53.2414,53.6874,21.6514,20.951,2.61174,0.530322,0.0299263,8.61495,3.9184,0.320325,0.0762845,0.447671,13.1449,2.9971,33.5981,31.6203,48.8606,4.41137,2.82106,15.3525,0.421618,0.0251598,0.271809,0.00672696,0.514272,2.7729,13.1111,3.51774,0.301447,1.25976,13.745,9.38385,13.2977,32.7607,7.08428,0.853303,0.30634,2.40629,0,0,3.75527,0.261095,34.1116,0.955296,2.84091,1.53991,1.51126,0.263215,2.99703,4.4696,4.61505,6.27792,22.9419,3.12851,2.78139,1.01828,0.75312,3.29601,0.0274723,9.43455,0.301098,8.2172,0.200347,0.16968,0.0114615,0.987702,0.0109806,0.00265073,0.0598061,0.815144,0.0119363,0.328416,0.614594,0.35859,0.054458,0.169323,6.97743e-05,1.85481,0.100479,0.239138,0.640541,0.310049,0.00141562,0.00395543,1.14806,2.64111,0.100438,0.0279544,0.986466,1.23793,0.514912,0.0132604,0.056228,0.0478494,0.229019,1.54432,0.00521543,0.102008,0.341502,0.131316,0.262195,0.156977,0.28124,0.0117566,0,0.125397,0.0976233,0.014494,0.929348,0.151734,0.884631,0.26224,0.109724,0.561716,0.298148,0.166347,0.144406,0.537101,0.277858,0.229082,0.0724721,0.0270033,0.550777,0.737307,0.05186,0.167076,0.0917209,0.0215284,0,0.0226207,0.173453,0.0168238,0.333694,1.0509,0.0622604,0.0269888,0.0570072,0.00725185,0.0197316,0.369315,0.109838,0.0441653,1.14287,0.0696944,0.115212,0.495186,1.4976,21.6835,1.5574,0.0810716,0.125053,0.0621768,0.0420428,0.0154784,0.577452,0.297188,7.44948,0.0105074,0.106431,0.0655257,0.388733,0.181276,0.0445777,0.0165649,0.0216395,0.0221937,0,0.00338665,0.0348157,0.25909,0.0019403,0.0411358,0.28923,0.0480796,0.0133066,0,0.318182,1.75926,0.456221,0.0239542,1.01411,0.218918,0,0,0,0,0.651718,0.21858,0.0104616,0.296293,2.24105,0.117822,0.045813,0.128885,0.254607,1.01769,2.11412,0.0062991,0.00386046,0.0227973,0.103547,0,1.18829,0.221392,2.40261,0.152353,0.0826322,0.134006,0.142143,0
3,M,0.655052,11.9761,22.0084,30.0497,79.0754,11.811,79.5769,661.301,683.908,5.24532,16.4249,91.3163,73.7642,87.243,7.27723,587.916,1878.7,2634.79,2488.49,178.367,328.414,722.046,20.2354,49.0485,1.9442,148.64,34.0652,129.803,63.4864,559.955,2661.07,2676.29,3891.1,3569.25,1584.89,1217.31,154.543,33.5524,2.19599,294.484,134.526,14.6003,5.54435,40.4123,516.752,153.4,2015.82,2731.53,3712.37,646.256,397.154,1264.28,77.3678,2.79965,32.1235,0.731407,9.88851,80.3219,407.837,155.282,20.1982,85.9681,954.268,958.138,1059.85,1563.04,815.396,119.38,20.5492,270.63,0,0,501.881,48.3809,967.232,35.643,100.753,94.5124,128.976,17.7083,191.059,488.096,299.068,487.469,1126.2,225.69,335.041,141.748,28.9717,125.262,0.714293,449.398,10.7252,305.167,9.57422,14.6746,1.81675,63.4666,3.87152,0.440229,6.86383,24.6926,0.264419,11.3272,29.7977,14.023,6.87828,28.4499,0.0184789,499.08,17.5907,14.1272,19.6036,8.90434,0.256926,0.601155,25.6949,61.5112,8.03374,5.49446,65.6958,47.1887,16.8137,1.25851,4.05371,17.1317,6.81607,31.2625,4.89368,6.87848,20.9696,20.0815,29.5216,16.5859,59.5336,6.35902,0,44.4509,3.12166,3.18604,103.218,7.35827,57.9938,48.377,18.1645,41.7409,11.6315,12.1011,3.24632,11.2255,35.7815,3.5259,1.62783,7.7054,30.6575,35.364,5.5464,25.3316,15.5043,3.56913,0,1.15795,17.1841,0.508269,16.7413,82.1947,5.99467,0.940018,4.20609,0.736232,0.944818,31.175,4.56688,1.11387,73.0615,9.0256,18.9235,41.6146,202.739,650.451,18.7351,6.53025,10.5872,9.49016,8.88723,3.77755,24.668,51.3143,222.864,1.87015,8.14404,7.40808,52.5799,21.9407,2.70868,1.37845,0.678343,2.34015,0,0.269654,2.06008,19.0794,1.11264,2.43399,22.9587,5.65184,1.00593,0,15.963,56.2202,24.7275,1.24212,55.6399,10.0671,0,0,0,0,31.4879,24.9026,1.18892,18.1909,95.3501,13.1942,1.66359,5.92545,13.3098,46.5486,108.602,0.213096,0.352498,0.925085,8.72473,0,76.2039,11.9636,74.4584,7.21089,3.92881,5.54748,10.0666,3775.18
