time,patch,S_visitor,S_resident_home,S_resident_away,I_visitor,I_resident_home,I_resident_away,P_visitor,P_resident_home,P_resident_away,incidence_resident,incidence_traveller
0,0,0,3,0,0,0,0,0,0,0,0,0
0,1,0,34,0,0,6,0,0,0,0,0,0
0,2,0,46,0,0,19,0,0,0,0,0,0
0,3,0,36,0,0,12,0,0,0,0,0,0
0,4,0,199,0,0,44,0,0,0,0,0,0
0,5,0,34,0,0,9,0,0,0,0,0,0
0,6,0,571,0,0,38,0,0,0,0,0,0
0,7,0,2362,0,0,304,0,0,0,0,0,0
0,8,0,2405,0,0,365,0,0,0,0,0,0
0,9,0,25,0,0,2,0,0,0,0,0,0
0,10,0,54,0,0,10,0,0,0,0,0,0
0,11,0,213,0,0,53,0,0,0,0,0,0
0,12,0,285,0,0,32,0,0,0,0,0,0
0,13,0,433,0,0,45,0,0,0,0,0,0
0,14,0,733,0,0,23,0,0,0,0,0,0
0,15,0,2448,0,0,260,0,0,0,0,0,0
0,16,0,8917,0,0,801,0,0,0,0,0,0
0,17,0,10234,0,0,1186,0,0,0,0,0,0
0,18,0,8089,0,0,1192,0,0,0,0,0,0
0,19,0,448,0,0,123,0,0,0,0,0,0
0,20,0,872,0,0,140,0,0,0,0,0,0
0,21,0,1613,0,0,388,0,0,0,0,0,0
0,22,0,60,0,0,9,0,0,0,0,0,0
0,23,0,97,0,0,23,0,0,0,0,0,0
0,24,0,5,0,0,3,0,0,0,0,0,0
0,25,0,418,0,0,55,0,0,0,0,0,0
0,26,0,105,0,0,26,0,0,0,0,0,0
0,27,0,434,0,0,67,0,0,0,0,0,0
0,28,0,150,0,0,40,0,0,0,0,0,0
0,29,0,1811,0,0,316,0,0,0,0,0,0
0,30,0,9075,0,0,1348,0,0,0,0,0,0
0,31,0,15467,0,0,1158,0,0,0,0,0,0
0,32,0,14303,0,0,1773,0,0,0,0,0,0
0,33,0,12056,0,0,1652,0,0,0,0,0,0
0,34,0,5627,0,0,602,0,0,0,0,0,0
0,35,0,3559,0,0,566,0,0,0,0,0,0
0,36,0,468,0,0,58,0,0,0,0,0,0
0,37,0,113,0,0,20,0,0,0,0,0,0
0,38,0,2,0,0,0,0,0,0,0,0,0
0,39,0,554,0,0,203,0,0,0,0,0,0
0,40,0,239,0,0,92,0,0,0,0,0,0
0,41,0,25,0,0,5,0,0,0,0,0,0
0,42,0,22,0,0,2,0,0,0,0,0,0
0,43,0,201,0,0,13,0,0,0,0,0,0
0,44,0,1102,0,0,330,0,0,0,0,0,0
0,45,0,449,0,0,87,0,0,0,0,0,0
0,46,0,6377,0,0,1034,0,0,0,0,0,0
0,47,0,11329,0,0,1164,0,0,0,0,0,0
0,48,0,13905,0,0,1719,0,0,0,0,0,0
0,49,0,5188,0,0,298,0,0,0,0,0,0
0,50,0,2311,0,0,126,0,0,0,0,0,0
0,51,0,4652,0,0,493,0,0,0,0,0,0
0,52,0,633,0,0,30,0,0,0,0,0,0
0,53,0,17,0,0,0,0,0,0,0,0,0
0,54,0,120,0,0,6,0,0,0,0,0,0
0,55,0,5,0,0,0,0,0,0,0,0,0
0,56,0,18,0,0,8,0,0,0,0,0,0
0,57,0,144,0,0,57,0,0,0,0,0,0
0,58,0,684,0,0,278,0,0,0,0,0,0
0,59,0,366,0,0,76,0,0,0,0,0,0
0,60,0,59,0,0,13,0,0,0,0,0,0
0,61,0,305,0,0,33,0,0,0,0,0,0
0,62,0,3364,0,0,431,0,0,0,0,0,0
0,63,0,4846,0,0,435,0,0,0,0,0,0
0,64,0,4133,0,0,491,0,0,0,0,0,0
0,65,0,4168,0,0,968,0,0,0,0,0,0
0,66,0,4781,0,0,329,0,0,0,0,0,0
0,67,0,826,0,0,54,0,0,0,0,0,0
0,68,0,72,0,0,12,0,0,0,0,0,0
0,69,0,1183,0,0,89,0,0,0,0,0,0
0,70,0,508,0,0,11,0,0,0,0,0,0
0,71,0,585,0,0,8,0,0,0,0,0,0
0,72,0,2608,0,0,152,0,0,0,0,0,0
0,73,0,242,0,0,10,0,0,0,0,0,0
0,74,0,1473,0,0,689,0,0,0,0,0,0
0,75,0,69,0,0,30,0,0,0,0,0,0
0,76,0,172,0,0,69,0,0,0,0,0,0
0,77,0,272,0,0,38,0,0,0,0,0,0
0,78,0,473,0,0,57,0,0,0,0,0,0
0,79,0,56,0,0,9,0,0,0,0,0,0
0,80,0,597,0,0,84,0,0,0,0,0,0
0,81,0,2574,0,0,201,0,0,0,0,0,0
0,82,0,1087,0,0,155,0,0,0,0,0,0
0,83,0,1892,0,0,223,0,0,0,0,0,0
0,84,0,3025,0,0,632,0,0,0,0,0,0
0,85,0,762,0,0,92,0,0,0,0,0,0
0,86,0,1909,0,0,158,0,0,0,0,0,0
0,87,0,769,0,0,50,0,0,0,0,0,0
0,88,0,47,0,0,18,0,0,0,0,0,0
0,89,0,243,0,0,83,0,0,0,0,0,0
0,90,0,3,0,0,0,0,0,0,0,0,0
0,91,0,1224,0,0,223,0,0,0,0,0,0
0,92,0,31,0,0,6,0,0,0,0,0,0
0,93,0,670,0,0,204,0,0,0,0,0,0
0,94,0,29,0,0,7,0,0,0,0,0,0
0,95,0,66,0,0,4,0,0,0,0,0,0
0,96,0,9,0,0,0,0,0,0,0,0,0
0,97,0,177,0,0,21,0,0,0,0,0,0
0,98,0,62,0,0,0,0,0,0,0,0,0
0,99,0,2,0,0,2,0,0,0,0,0,0
0,100,0,9,0,0,1,0,0,0,0,0,0
0,101,0,40,0,0,14,0,0,0,0,0,0
0,102,0,1,0,0,0,0,0,0,0,0,0
0,103,0,29,0,0,6,0,0,0,0,0,0
0,104,0,63,0,0,13,0,0,0,0,0,0
0,105,0,30,0,0,8,0,0,0,0,0,0
0,106,0,42,0,0,1,0,0,0,0,0,0
0,107,0,133,0,0,10,0,0,0,0,0,0
0,108,0,15,0,0,1,0,0,0,0,0,0
0,109,0,3003,0,0,96,0,0,0,0,0,0
0,110,0,89,0,0,3,0,0,0,0,0,0
0,111,0,30,0,0,9,0,0,0,0,0,0
0,112,0,32,0,0,10,0,0,0,0,0,0
0,113,0,13,0,0,9,0,0,0,0,0,0
0,114,0,6,0,0,0,0,0,0,0,0,0
0,115,0,5,0,0,0,0,0,0,0,0,0
0,116,0,34,0,0,21,0,0,0,0,0,0
