map.area,dist.ban,dist.lub,dist.mal,dist.mok,dist.ria,dist.ure,dist.eg
12,19345.9106051547,35828.6712812788,7828.94284487773,46962.7381639836,39892.9056775325,59379.1510829195,247828.942844878
13,18500.975407833,36256.8870714017,7642.08625529519,47109.1369851171,39794.7357929504,59639.0106120973,247642.086255295
14,22463.0638810954,33427.1253542978,8995.18698058843,45594.5086691225,39564.6959186012,57522.8727878948,248995.186980588
16,20673.3239260264,34130.017098825,7933.58973646105,45743.1473762126,39188.8697285109,57937.6284383294,247933.589736461
18,18915.1488585961,34936.1188209811,7186.94502127852,45978.1893560184,38911.579501589,58417.7968866682,247186.945021279
19,18050.3526140213,35375.5172641015,6982.05258347981,46127.7170690528,38810.6694779817,58681.9174571187,246982.05258348
24,13192.8319620645,38461.6020917008,8231.20072743174,47458.4435657847,38745.6603498728,60589.144730466,248231.200727432
25,12487.775083371,39042.5088142968,8828.66499978589,47749.8038827104,38825.5542888388,60958.5237683466,248828.664999786
26,11850.0815425255,39640.1840292954,9532.58841172037,48060.1595753415,38931.2441040336,61341.9455440927,249532.58841172
40,18535.2356359799,34049.3928578532,6664.4773988109,44994.060293286,37931.0403134121,57457.5568406216,246664.477398811
41,17653.5634184547,34500.5094651982,6443.65522678788,45146.8518642422,37827.23778347,57726.0749368791,246443.655226788
42,16781.2368467248,34974.8548730465,6354.13578952182,45321.1480639371,37749.5664235768,58010.5523891974,246354.135789522
43,15919.5353619671,35471.420490729,6388.9367619267,45516.7015627764,37698.2388601371,58310.7555563054,246388.936761927
44,15070.1233071672,35989.2164451828,6543.95894715868,45733.2393546795,37673.416238387,58626.442778316,246543.958947159
45,14235.3024191487,36527.2767693475,6817.98991477331,45970.4645996876,37675.2060154973,58957.3652450216,246817.989914773
46,13418.5317143615,37084.6634811728,7210.39037425211,46228.0585852261,37703.6601560041,59303.2679037522,247210.390374252
47,12625.6134736629,37660.4693987732,7722.17892033496,46505.6825733252,37758.7736823196,59663.8901551829,247722.178920335
48,11867.7491176687,38253.8201718436,8355.31684806806,46802.9797862451,37840.4838566469,60038.9666297072,248355.316848068
49,11169.8568358832,38863.8758036154,9099.04215847366,47119.5776556338,37948.6701985194,60428.2281851559,249099.042158474
50,10571.510989434,39489.8311182256,9928.56469869216,47455.0896499934,38083.1547666337,60831.4024495317,249928.564698692
51,10147.0103234339,40130.9161419719,10797.7012704222,47809.1173627329,38243.7032869916,61248.214650338,250797.701270422
