map.area,nights,destination
12,8,on_island
13,14,on_island
13,1,on_island
13,3,on_island
14,45,on_island
18,21,off_island
18,,off_island
18,30,off_island
18,30,off_island
18,,off_island
18,60,off_island
18,8,on_island
18,3,on_island
18,1,on_island
18,30,on_island
18,2,on_island
18,2,on_island
24,14,off_island
24,14,off_island
24,30,off_island
24,30,off_island
24,30,off_island
24,22,off_island
24,5,off_island
24,21,off_island
24,60,off_island
24,1,off_island
24,1,off_island
24,6,off_island
24,1,off_island
24,6,off_island
24,1,on_island
25,7,off_island
25,2,off_island
25,14,off_island
25,9,off_island
25,3,off_island
25,4,off_island
25,4,off_island
25,2,off_island
25,60,on_island
25,60,on_island
25,60,on_island
25,3,on_island
25,4,on_island
25,4,on_island
25,3,on_island
25,4,on_island
25,2,on_island
25,4,on_island
25,7,on_island
25,3,on_island
25,2,on_island
25,2,on_island
25,2,on_island
25,63,on_island
25,1,on_island
25,1,on_island
25,1,on_island
25,1,on_island
25,1,on_island
25,1,on_island
25,1,on_island
25,7,on_island
25,1,on_island
25,14,on_island
25,1,on_island
25,2,on_island
25,3,on_island
26,30,off_island
26,30,off_island
26,14,off_island
26,1,off_island
26,4,off_island
26,7,off_island
26,1,off_island
26,30,on_island
26,1,on_island
26,2,on_island
26,2,on_island
26,2,on_island
26,30,on_island
26,30,on_island
26,1,on_island
26,30,on_island
26,2,on_island
26,2,on_island
26,1,on_island
26,1,on_island
26,2,on_island
26,1,on_island
26,2,on_island
26,1,on_island
26,2,on_island
26,7,on_island
26,1,on_island
26,7,on_island
26,7,on_island
26,2,on_island
26,7,on_island
26,7,on_island
26,1,on_island
26,1,on_island
26,63,on_island
26,63,on_island
26,1,on_island
26,1,on_island
26,60,on_island
40,30,off_island
42,7,on_island
42,7,on_island
43,45,on_island
45,5,off_island
45,3,on_island
45,1,on_island
45,3,on_island
45,2,on_island
46,8,off_island
46,2,off_island
46,30,off_island
46,21,off_island
46,30,off_island
46,30,off_island
46,1,off_island
46,1,off_island
46,30,off_island
46,4,off_island
46,6,off_island
46,5,off_island
46,7,off_island
46,30,off_island
46,7,off_island
46,7,off_island
46,21,off_island
46,1,off_island
46,2,off_island
46,14,on_island
46,13,on_island
46,9,on_island
46,4,on_island
46,7,on_island
46,16,on_island
46,16,on_island
46,16,on_island
46,1,on_island
46,7,on_island
46,5,on_island
46,7,on_island
46,7,on_island
46,1,on_island
46,1,on_island
46,2,on_island
46,1,on_island
46,3,on_island
46,1,on_island
47,8,off_island
47,150,off_island
47,150,off_island
47,150,off_island
47,150,off_island
47,5,off_island
47,99,off_island
47,37,off_island
47,14,off_island
47,30,off_island
47,3,off_island
47,1,off_island
47,2,off_island
47,14,off_island
47,30,off_island
47,30,off_island
47,1,off_island
47,21,off_island
47,14,off_island
47,365,off_island
47,30,off_island
47,3,off_island
47,30,off_island
47,4,off_island
47,1,off_island
47,7,off_island
47,3,off_island
47,14,off_island
47,1,off_island
47,60,off_island
47,30,off_island
47,60,off_island
47,21,off_island
47,37,off_island
47,30,off_island
47,7,off_island
47,30,off_island
47,5,off_island
47,21,off_island
47,14,off_island
47,58,off_island
47,4,off_island
47,14,off_island
47,42,off_island
47,14,off_island
47,30,off_island
47,2,off_island
47,60,off_island
47,44,off_island
47,99,off_island
47,1,off_island
47,30,off_island
47,60,off_island
47,4,off_island
47,14,off_island
47,14,off_island
47,3,off_island
47,10,off_island
47,5,off_island
47,1,off_island
47,3,off_island
47,3,off_island
47,14,off_island
47,14,off_island
47,21,off_island
47,4,off_island
47,2,off_island
47,2,off_island
47,2,off_island
47,7,off_island
47,14,off_island
47,7,off_island
47,3,off_island
47,14,off_island
47,30,off_island
47,6,off_island
47,14,off_island
47,21,off_island
47,2,off_island
47,4,off_island
47,1,on_island
47,2,on_island
47,12,on_island
47,4,on_island
47,1,on_island
47,2,on_island
47,2,on_island
47,1,on_island
47,120,on_island
47,2,on_island
47,2,on_island
47,30,on_island
47,30,on_island
47,31,on_island
47,1,on_island
47,1,on_island
47,2,on_island
47,1,on_island
47,1,on_island
47,9,on_island
47,7,on_island
47,9,on_island
47,3,on_island
47,9,on_island
47,1,on_island
47,8,on_island
47,3,on_island
47,1,on_island
47,2,on_island
47,60,on_island
47,1,on_island
47,2,on_island
47,7,on_island
47,2,on_island
47,30,on_island
47,3,on_island
47,59,on_island
47,2,on_island
47,1,on_island
47,1,on_island
47,1,on_island
47,14,on_island
47,3,on_island
47,28,on_island
47,1,on_island
47,1,on_island
47,1,on_island
47,75,on_island
47,6,on_island
47,1,on_island
47,7,on_island
47,60,on_island
47,60,on_island
47,60,on_island
47,2,on_island
47,1,on_island
47,2,on_island
47,2,on_island
47,2,on_island
47,60,on_island
47,1,on_island
47,5,on_island
47,2,on_island
47,1,on_island
47,5,on_island
47,5,on_island
47,2,on_island
47,7,on_island
47,1,on_island
47,1,on_island
47,1,on_island
48,45,off_island
48,45,off_island
48,45,off_island
48,45,off_island
48,21,off_island
48,21,off_island
48,21,off_island
48,21,off_island
48,21,off_island
48,21,off_island
48,4,off_island
48,60,off_island
48,1,off_island
48,1,off_island
48,1,off_island
48,2,off_island
48,21,off_island
48,21,off_island
48,3,off_island
48,5,off_island
48,60,off_island
48,30,off_island
48,30,off_island
48,30,off_island
48,30,off_island
48,30,off_island
48,1,off_island
48,35,off_island
48,5,off_island
48,7,off_island
48,60,off_island
48,21,off_island
48,7,off_island
48,1,off_island
48,1,off_island
48,21,off_island
48,14,off_island
48,21,off_island
48,4,off_island
48,60,off_island
48,60,off_island
48,2,off_island
48,30,off_island
48,7,off_island
48,99,off_island
48,21,off_island
48,1,off_island
48,7,off_island
48,21,off_island
48,7,off_island
48,2,off_island
48,7,off_island
48,30,off_island
48,30,off_island
48,30,off_island
48,30,off_island
48,30,off_island
48,60,off_island
48,60,off_island
48,3,off_island
48,14,off_island
48,10,off_island
48,21,off_island
48,14,off_island
48,14,off_island
48,7,off_island
48,14,off_island
48,3,off_island
48,21,off_island
48,2,off_island
48,30,off_island
48,50,off_island
48,56,off_island
48,56,off_island
48,50,off_island
48,56,off_island
48,4,off_island
48,56,off_island
48,56,off_island
48,56,off_island
48,30,off_island
48,30,off_island
48,20,off_island
48,7,off_island
48,60,off_island
48,14,off_island
48,60,off_island
48,30,off_island
48,4,off_island
48,60,off_island
48,60,off_island
48,60,off_island
48,30,off_island
48,30,off_island
48,30,off_island
48,4,off_island
48,3,off_island
48,28,off_island
48,21,off_island
48,1,off_island
48,2,off_island
48,1,off_island
48,21,off_island
48,21,off_island
48,7,off_island
48,7,off_island
48,14,off_island
48,1,off_island
48,1,off_island
48,21,off_island
48,1,off_island
48,7,off_island
48,2,off_island
48,3,off_island
48,7,off_island
48,7,off_island
48,14,off_island
48,7,off_island
48,4,off_island
48,14,off_island
48,30,off_island
48,7,off_island
48,3,off_island
48,2,off_island
48,7,off_island
48,7,off_island
48,7,off_island
48,1,off_island
48,7,off_island
48,21,off_island
48,1,off_island
48,2,off_island
48,2,off_island
48,14,off_island
48,1,on_island
48,1,on_island
48,1,on_island
48,1,on_island
48,6,on_island
48,3,on_island
48,30,on_island
48,1,on_island
48,1,on_island
48,1,on_island
48,1,on_island
48,14,on_island
48,2,on_island
48,3,on_island
48,3,on_island
