map.area,year,leave.prob
12,2015,0.152534215922203
12,2016,0.152534215922203
12,2017,0.152534215922203
12,2018,0.152533288019173
13,2015,0.152118101000643
13,2016,0.152118101000643
13,2017,0.152118101000643
13,2018,0.152131525998221
14,2015,0.154925650082228
14,2016,0.154925650082228
14,2017,0.154925650082228
14,2018,0.15492283072242
16,2015,0.152728608592405
16,2016,0.152728608592405
16,2017,0.152728608592405
16,2018,0.152728144155598
18,2015,0.151103662199611
18,2016,0.151103662199611
18,2017,0.151103662199611
18,2018,0.15110458295648
19,2015,0.150779842457967
19,2016,0.150779842457967
19,2017,0.150779842457967
19,2018,0.150778004203511
24,2015,0.193304107874249
24,2016,0.193304107874249
24,2017,0.193304107874249
24,2018,0.193350005287962
25,2015,0.193393419188257
25,2016,0.193393419188257
25,2017,0.193393419188257
25,2018,0.193684158010793
26,2015,0.195037650332275
26,2016,0.195037650332275
26,2017,0.195037650332275
26,2018,0.195383859382887
40,2015,0.150130955117547
40,2016,0.150130955117547
40,2017,0.150130955117547
40,2018,0.150138282269543
41,2015,0.149680558705193
41,2016,0.149680558705193
41,2017,0.149680558705193
41,2018,0.149672793170278
42,2015,0.188925102267469
42,2016,0.188925102267469
42,2017,0.188925102267469
42,2018,0.188914653158733
43,2015,0.188979864704869
43,2016,0.188979864704869
43,2017,0.188979864704869
43,2018,0.188971613537597
44,2015,0.189225054841679
44,2016,0.189225054841679
44,2017,0.189225054841679
44,2018,0.189261950091102
45,2015,0.189732747562136
45,2016,0.189732747562136
45,2017,0.189732747562136
45,2018,0.189779652098642
46,2015,0.18937259002128
46,2016,0.18937259002128
46,2017,0.18937259002128
46,2018,0.189664221491091
47,2015,0.186347814479385
47,2016,0.186347814479385
47,2017,0.186347814479385
47,2018,0.187065024383747
48,2015,0.18677918787629
48,2016,0.18677918787629
48,2017,0.18677918787629
48,2018,0.187671610349414
49,2015,0.189780180104284
49,2016,0.189780180104284
49,2017,0.189780180104284
49,2018,0.190667517063457
50,2015,0.188665948544428
50,2016,0.188665948544428
50,2017,0.188665948544428
50,2018,0.188521502528918
51,2015,0.190661191384379
51,2016,0.190661191384379
51,2017,0.190661191384379
51,2018,0.190406006172237
52,2015,0.192305738635049
52,2016,0.192305738635049
52,2017,0.192305738635049
52,2018,0.192064468446756
53,2015,0.195433906137644
53,2016,0.195433906137644
53,2017,0.195433906137644
53,2018,0.195424876750802
65,2018,0.150917825515578
66,2018,0.150071241475279
67,2015,0.149229648284533
67,2016,0.149229648284533
67,2017,0.149229648284533
67,2018,0.149158122026453
68,2015,0.148867962298383
68,2016,0.148867962298383
68,2017,0.148867962298383
68,2018,0.148857503117746
69,2015,0.187822829834108
69,2016,0.187822829834108
69,2017,0.187822829834108
69,2018,0.187813522527087
70,2015,0.18808692364423
70,2016,0.18808692364423
70,2017,0.18808692364423
70,2018,0.188050204326716
71,2015,0.187500520331576
71,2016,0.187500520331576
71,2017,0.187500520331576
71,2018,0.187366050434748
72,2015,0.183109191614531
72,2016,0.183109191614531
72,2017,0.183109191614531
72,2018,0.183544984072528
73,2015,0.179676991148392
73,2016,0.179676991148392
73,2017,0.179676991148392
73,2018,0.181194929505255
74,2015,0.182019920654309
74,2016,0.182019920654309
74,2017,0.182019920654309
74,2018,0.182759055525526
75,2015,0.184916269260694
75,2016,0.184916269260694
75,2017,0.184916269260694
75,2018,0.185622715767876
76,2015,0.182856008328769
76,2016,0.182856008328769
76,2017,0.182856008328769
76,2018,0.182737520135727
77,2015,0.186486137647129
77,2016,0.186486137647129
77,2017,0.186486137647129
77,2018,0.18590205411205
78,2015,0.190152442690646
78,2016,0.190152442690646
78,2017,0.190152442690646
78,2018,0.190034745487716
79,2018,0.192506824799192
93,2018,0.151517715253158
94,2015,0.150183379910756
94,2016,0.150183379910756
94,2017,0.150183379910756
94,2018,0.150098656744409
95,2015,0.149480538324065
95,2016,0.149480538324065
95,2017,0.149480538324065
95,2018,0.149422597125627
96,2018,0.148905109540844
97,2018,0.148467339809863
98,2015,0.187471585832977
98,2016,0.187471585832977
98,2017,0.187471585832977
98,2018,0.187432225780815
99,2015,0.186936873670194
99,2016,0.186936873670194
99,2017,0.186936873670194
99,2018,0.186829977069455
100,2015,0.187915659224101
100,2016,0.187915659224101
100,2017,0.187915659224101
100,2018,0.187696674549995
101,2015,0.184913783803209
101,2016,0.184913783803209
101,2017,0.184913783803209
101,2018,0.184646163467641
102,2015,0.182383993857205
102,2016,0.182383993857205
102,2017,0.182383993857205
102,2018,0.182903180692877
103,2015,0.182648564864079
103,2016,0.182648564864079
103,2017,0.182648564864079
103,2018,0.182526967856626
104,2015,0.19019795824007
104,2016,0.19019795824007
104,2017,0.19019795824007
104,2018,0.18967059363437
105,2015,0.185425172407722
105,2016,0.185425172407722
105,2017,0.185425172407722
105,2018,0.184367154680513
106,2015,0.185947363345487
106,2016,0.185947363345487
106,2017,0.185947363345487
106,2018,0.184957909347612
107,2015,0.189629915062837
107,2016,0.189629915062837
107,2017,0.189629915062837
107,2018,0.189580833155224
108,2018,0.192211045988816
109,2015,0.194520748480421
109,2016,0.194520748480421
109,2017,0.194520748480421
109,2018,0.194489258971683
118,2018,0.217397937220954
122,2015,0.152414333500683
122,2016,0.152414333500683
122,2017,0.152414333500683
122,2018,0.152413869847647
124,2015,0.150181716306032
124,2016,0.150181716306032
124,2017,0.150181716306032
124,2018,0.15013316784884
125,2018,0.148967692756962
126,2015,0.14863870293227
126,2016,0.14863870293227
126,2017,0.14863870293227
126,2018,0.148574674638005
127,2015,0.148351513595763
127,2016,0.148351513595763
127,2017,0.148351513595763
127,2018,0.148334283036956
128,2015,0.187402145966021
128,2016,0.187402145966021
128,2017,0.187402145966021
128,2018,0.187268276614203
129,2015,0.186043957264707
129,2016,0.186043957264707
129,2017,0.186043957264707
129,2018,0.185465280460435
